date,pm10,pm25,co,no2,so2,o3,aqi
2024-01-01,136.49583333333334,89.84166666666665,771.0,18.2125,35.34166666666667,83.625,110.625
2024-01-02,121.41666666666667,80.01666666666667,717.625,16.108333333333334,31.929166666666664,85.66666666666667,107.83333333333333
2024-01-03,108.53750000000001,70.98333333333333,591.7916666666666,15.145833333333334,39.35,87.0,102.58333333333333
2024-01-04,112.88333333333333,73.85833333333333,645.0416666666666,14.549999999999999,36.97083333333333,82.29166666666667,95.125
2024-01-05,118.11666666666667,77.14166666666667,665.625,15.945833333333333,38.458333333333336,88.66666666666667,101.0
2024-01-06,111.49583333333334,73.42916666666666,551.1666666666666,13.245833333333332,31.870833333333334,80.66666666666667,100.70833333333333
2024-01-07,88.63333333333333,57.979166666666664,497.75,9.020833333333334,19.320833333333333,77.83333333333333,94.29166666666667
2024-01-08,91.28333333333335,59.55833333333334,579.875,15.299999999999999,38.9625,90.41666666666667,85.33333333333333
2024-01-09,87.325,58.01666666666667,696.9166666666666,17.1375,32.6,91.20833333333333,87.20833333333333
2024-01-10,59.4625,39.42916666666667,476.5416666666667,19.104166666666668,34.083333333333336,71.20833333333333,81.08333333333333
2024-01-11,57.229166666666664,38.47083333333333,440.5833333333333,15.549999999999999,27.233333333333334,69.79166666666667,69.83333333333333
2024-01-12,58.175000000000004,39.30833333333333,507.8333333333333,17.162499999999998,30.354166666666668,89.70833333333333,70.20833333333333
2024-01-13,46.975,31.474999999999998,424.6666666666667,15.708333333333334,22.53333333333333,78.33333333333333,67.83333333333333
2024-01-14,50.800000000000004,33.975,407.625,13.916666666666666,20.129166666666666,75.29166666666667,66.54166666666667
2024-01-15,44.96666666666667,30.34166666666667,382.9583333333333,14.258333333333333,26.204166666666666,85.625,65.45833333333333
2024-01-16,57.67916666666667,39.108333333333334,512.25,23.508333333333336,28.516666666666666,70.16666666666667,66.625
2024-01-17,88.90833333333335,59.520833333333336,553.9166666666666,19.491666666666667,28.40416666666667,85.16666666666667,78.45833333333333
2024-01-18,83.67083333333333,53.86666666666667,418.7083333333333,10.1875,27.520833333333332,96.25,89.125
2024-01-19,79.21249999999999,51.71666666666667,463.0,8.829166666666667,22.370833333333334,96.66666666666667,81.70833333333333
2024-01-20,89.30416666666667,59.7125,539.0416666666666,13.041666666666666,31.083333333333332,80.79166666666667,83.375
2024-01-21,98.425,64.65833333333333,569.5,17.041666666666668,37.62083333333333,90.58333333333333,90.54166666666667
2024-01-22,96.6125,62.60833333333333,515.0416666666666,10.75,39.454166666666666,97.16666666666667,88.5
2024-01-23,97.87916666666666,64.3875,434.2083333333333,11.033333333333333,27.395833333333332,85.04166666666667,93.875
2024-01-24,59.041666666666664,37.608333333333334,412.1666666666667,11.200000000000001,26.583333333333332,99.04166666666667,84.08333333333333
2024-01-25,75.16250000000001,48.05416666666667,481.0416666666667,16.929166666666667,33.12083333333333,82.33333333333333,66.875
2024-01-26,83.90416666666667,53.85,529.875,20.145833333333332,43.30416666666667,82.33333333333333,82.08333333333333
2024-01-27,68.69583333333334,43.833333333333336,464.7083333333333,22.3625,33.85,75.5,79.0
2024-01-28,73.83333333333333,47.37916666666666,559.75,26.620833333333334,34.36666666666667,71.25,75.20833333333333
2024-01-29,85.95833333333333,55.199999999999996,543.5833333333334,16.904166666666665,28.270833333333332,96.29166666666667,83.83333333333333
2024-01-30,85.35000000000001,55.15833333333333,507.1666666666667,18.837500000000002,25.741666666666664,80.83333333333333,82.70833333333333
2024-01-31,90.99166666666667,58.79583333333333,570.1666666666666,18.1125,22.7375,75.83333333333333,83.95833333333333
2024-02-01,92.90416666666665,60.512499999999996,594.9583333333334,19.683333333333334,26.570833333333336,86.25,95.125
2024-02-02,51.71666666666667,33.525,417.1666666666667,13.620833333333332,18.6375,81.25,74.33333333333333
2024-02-03,60.38333333333333,38.137499999999996,488.1666666666667,19.433333333333334,24.633333333333336,72.125,67.79166666666667
2024-02-04,57.88333333333333,35.4,550.25,24.837500000000002,29.508333333333336,66.66666666666667,67.83333333333333
2024-02-05,66.99583333333334,41.204166666666666,475.375,12.733333333333334,17.520833333333332,90.5,74.29166666666667
2024-02-06,55.26666666666667,30.629166666666666,337.2916666666667,11.083333333333334,16.141666666666666,71.66666666666667,67.25
2024-02-07,60.449999999999996,35.425000000000004,319.2083333333333,13.025,21.5125,73.83333333333333,67.08333333333333
2024-02-08,45.19583333333333,24.34583333333333,275.0416666666667,8.433333333333334,14.020833333333334,87.58333333333333,64.45833333333333
2024-02-09,33.262499999999996,20.474999999999998,307.5416666666667,10.691666666666668,17.791666666666668,84.5,48.25
2024-02-10,96.07916666666667,60.2875,437.5416666666667,12.241666666666667,28.066666666666666,92.0,66.375
2024-02-11,88.69583333333333,57.762499999999996,374.5416666666667,6.7749999999999995,18.170833333333334,105.25,90.25
2024-02-12,82.64583333333333,53.1625,412.2083333333333,11.179166666666667,25.40416666666667,91.08333333333333,84.95833333333333
2024-02-13,46.800000000000004,30.15833333333333,361.875,12.445833333333333,17.716666666666665,65.91666666666667,73.375
2024-02-14,67.91666666666667,43.12916666666666,401.3333333333333,12.533333333333333,17.954166666666666,85.91666666666667,66.625
2024-02-15,90.17916666666667,57.9625,340.9166666666667,7.8374999999999995,16.383333333333333,90.70833333333333,83.875
2024-02-16,89.10416666666667,56.979166666666664,503.5416666666667,17.645833333333332,28.3125,86.08333333333333,83.33333333333333
2024-02-17,73.88333333333334,47.925000000000004,524.625,19.5125,23.3,80.16666666666667,82.95833333333333
2024-02-18,63.300000000000004,42.5625,568.875,20.995833333333334,21.52916666666667,81.33333333333333,75.95833333333333
2024-02-19,40.475,27.65833333333333,435.1666666666667,13.333333333333334,15.125,79.45833333333333,68.45833333333333
2024-02-20,42.225,28.933333333333334,428.2083333333333,13.799999999999999,19.925,91.75,65.16666666666667
2024-02-21,22.545833333333334,14.508333333333333,268.6666666666667,7.791666666666667,12.608333333333334,77.79166666666667,44.375
2024-02-22,40.891666666666666,20.1125,240.08333333333334,7.241666666666667,10.870833333333332,87.125,42.541666666666664
2024-02-23,68.28333333333333,36.25,377.8333333333333,15.475000000000001,20.016666666666666,83.375,58.5
2024-02-24,53.041666666666664,30.170833333333334,315.9583333333333,8.229166666666666,18.791666666666668,103.79166666666667,67.83333333333333
2024-02-25,100.69583333333333,62.333333333333336,368.25,7.370833333333334,24.170833333333334,113.875,73.95833333333333
2024-02-26,92.69166666666666,60.24583333333334,391.2083333333333,9.262500000000001,23.27916666666667,86.79166666666667,93.54166666666667
2024-02-27,65.75833333333334,43.9625,361.1666666666667,9.795833333333333,18.595833333333335,94.75,81.41666666666667
2024-02-28,57.520833333333336,37.583333333333336,388.0416666666667,13.241666666666667,21.962500000000002,84.375,70.70833333333333
2024-02-29,60.612500000000004,33.7875,412.0,14.950000000000001,19.662499999999998,86.95833333333333,68.41666666666667
2024-03-01,60.237500000000004,30.09166666666667,443.2083333333333,18.787499999999998,22.5,70.16666666666667,65.16666666666667
2024-03-02,66.08333333333333,37.4375,351.4583333333333,12.541666666666666,17.404166666666665,76.16666666666667,66.25
2024-03-03,39.06666666666667,24.929166666666664,276.6666666666667,6.8875,13.204166666666666,87.5,68.29166666666667
2024-03-04,31.579166666666666,16.729166666666668,257.125,9.995833333333334,20.4875,86.91666666666667,46.583333333333336
2024-03-05,32.87916666666667,20.541666666666668,295.25,10.854166666666666,20.95416666666667,100.5,44.916666666666664
2024-03-06,36.36666666666667,23.479166666666668,294.625,7.195833333333333,17.766666666666666,109.625,52.333333333333336
2024-03-07,28.133333333333336,17.754166666666666,261.6666666666667,8.016666666666667,18.0125,102.5,50.041666666666664
2024-03-08,35.449999999999996,21.329166666666666,318.0416666666667,9.6875,17.429166666666667,108.58333333333333,50.333333333333336
2024-03-09,40.09166666666667,24.145833333333332,329.7916666666667,10.779166666666667,19.099999999999998,102.08333333333333,54.458333333333336
2024-03-10,46.270833333333336,27.97083333333333,325.625,8.029166666666667,19.0125,113.79166666666667,63.125
2024-03-11,36.25833333333333,22.316666666666666,350.5,9.620833333333334,16.8,102.625,61.041666666666664
2024-03-12,33.69583333333333,18.875,272.125,7.8374999999999995,16.470833333333335,96.5,47.875
2024-03-13,23.429166666666664,13.495833333333332,228.54166666666666,7.854166666666667,15.379166666666668,86.875,39.166666666666664
2024-03-14,37.395833333333336,17.712500000000002,256.0416666666667,7.820833333333333,13.195833333333333,89.375,42.583333333333336
2024-03-15,40.09583333333333,21.6125,259.3333333333333,6.395833333333333,12.6,107.75,49.458333333333336
